ID	MALAT1	Type
TCGA-50-5939-11A-01R-1628-07	12.16006	Normal
TCGA-73-4676-11A-01R-1755-07	12.81149	Normal
TCGA-55-6979-11A-01R-1949-07	34.73832	Normal
TCGA-50-5930-11A-01R-1755-07	13.53362	Normal
TCGA-38-4632-11A-01R-1755-07	8.284524	Normal
TCGA-49-4490-11A-01R-1858-07	3.482482	Normal
TCGA-44-3398-11B-01R-1758-07	14.78894	Normal
TCGA-44-6777-11A-01R-1858-07	8.531014	Normal
TCGA-55-6978-11A-01R-1949-07	23.13262	Normal
TCGA-55-6972-11A-01R-1949-07	39.52634	Normal
TCGA-55-6985-11A-01R-1949-07	41.14151	Normal
TCGA-44-6147-11A-01R-1858-07	27.93142	Normal
TCGA-49-6743-01A-11R-1858-07	9.763487	Tumor
TCGA-44-2668-01A-01R-A278-07	541.9304	Tumor
TCGA-44-6146-01A-11R-1755-07	10.92668	Tumor
TCGA-44-6776-01A-11R-1858-07	23.82778	Tumor
TCGA-44-6147-01B-06R-A277-07	4841.257	Tumor
TCGA-91-6835-01A-11R-1858-07	29.66682	Tumor
TCGA-55-6982-01A-11R-1949-07	12.78304	Tumor
TCGA-49-6744-01A-11R-1858-07	36.11332	Tumor
TCGA-73-4676-01A-01R-1755-07	13.67709	Tumor
TCGA-49-6761-01A-31R-1949-07	24.52147	Tumor
TCGA-50-5939-01A-11R-1628-07	5.585768	Tumor
TCGA-91-6847-01A-11R-1949-07	13.88572	Tumor
TCGA-44-2655-01A-01R-0946-07	10.14936	Tumor
TCGA-91-6836-01A-21R-1858-07	27.18352	Tumor
TCGA-44-6145-01A-11R-1755-07	18.26288	Tumor
TCGA-44-2665-01A-01R-0946-07	12.746	Tumor
TCGA-50-5936-01A-11R-1628-07	8.876249	Tumor
TCGA-44-5645-01A-01R-A278-07	1306.264	Tumor
TCGA-55-6978-01A-11R-1949-07	12.59376	Tumor
TCGA-91-6829-01A-21R-1858-07	14.28671	Tumor
TCGA-55-6984-01A-11R-1949-07	15.49382	Tumor
TCGA-49-6742-01A-11R-1858-07	23.6875	Tumor
TCGA-91-6849-01A-11R-1949-07	49.92726	Tumor
TCGA-44-2662-01A-01R-0946-07	14.22357	Tumor
TCGA-44-3396-01A-01R-1206-07	15.62313	Tumor
TCGA-38-4627-01A-01R-1206-07	2.174212	Tumor
TCGA-44-6777-01A-11R-1858-07	7.232951	Tumor
TCGA-55-6980-01A-11R-1949-07	23.39599	Tumor
TCGA-50-5931-01A-11R-1755-07	22.31338	Tumor
TCGA-55-6971-01A-11R-1949-07	25.59496	Tumor
TCGA-49-6745-01A-11R-1858-07	6.947792	Tumor
TCGA-44-6148-01A-11R-1755-07	17.93305	Tumor
TCGA-55-6970-01A-11R-1949-07	13.53188	Tumor
TCGA-38-4625-01A-01R-1206-07	3.84759	Tumor
TCGA-55-6975-01A-11R-1949-07	6.133107	Tumor
TCGA-50-5933-01A-11R-1755-07	10.76809	Tumor
TCGA-44-2661-01A-01R-1107-07	8.020105	Tumor
TCGA-44-6778-01A-11R-1858-07	39.70485	Tumor
TCGA-44-3398-01A-01R-1107-07	7.289002	Tumor
TCGA-55-6979-01A-11R-1949-07	22.9512	Tumor
TCGA-55-6981-01A-11R-1949-07	32.2507	Tumor
TCGA-55-6968-01A-11R-1949-07	26.79539	Tumor
TCGA-50-5935-01A-11R-1755-07	43.68818	Tumor
TCGA-55-6972-01A-11R-1949-07	22.99144	Tumor
TCGA-91-6831-01A-11R-1858-07	21.75354	Tumor
TCGA-55-6985-01A-11R-1949-07	16.38058	Tumor
TCGA-49-4512-01A-21R-1858-07	77.42781	Tumor
TCGA-91-6828-01A-11R-1858-07	40.93022	Tumor
TCGA-38-4632-01A-01R-1755-07	2.911764	Tumor
TCGA-38-4626-01A-01R-1206-07	26.53087	Tumor
TCGA-50-5930-01A-11R-1755-07	26.51935	Tumor
TCGA-55-6986-01A-11R-1949-07	17.64064	Tumor
TCGA-49-4490-01A-21R-1858-07	14.98307	Tumor
TCGA-50-6595-01A-12R-1858-07	5.296683	Tumor
TCGA-50-5932-01A-11R-1755-07	25.44595	Tumor
TCGA-44-2657-01A-01R-1107-07	19.23399	Tumor
TCGA-55-6983-01A-11R-1949-07	12.69541	Tumor
