NAME	TITLE	SCORE	
RPL23AP73	na	0.14496405	
AC098614.1	na	0.1446959	
AL024493.1	na	0.14453848	
RPL10P16	na	0.14451493	
GCSHP2	na	0.14424333	
KRT18P42	na	0.14396623	
SERPINA5	na	0.1439148	
AL662860.1	na	0.14373857	
AC097535.2	na	0.14339963	
RPL13AP5	na	0.14336672	
SELENOTP1	na	0.14276776	
AL359636.3	na	0.14243327	
AC007881.2	na	0.14221545	
LINC01304	na	0.14187065	
AC048382.4	na	0.141746	
AC022882.1	na	0.14149868	
AC091874.3	na	0.14146186	
LINC00502	na	0.14132306	
RPL19P21	na	0.1412866	
DRD5	na	0.1412715	
RPS10P2	na	0.14101568	
RNU6-273P	na	0.14084895	
AC074281.1	na	0.14073738	
PLD5	na	0.14071304	
AC243562.3	na	0.14065851	
AC007967.1	na	0.14050177	
MUL1	na	0.14029743	
EEF1A1P14	na	0.1402199	
HMOX1	na	0.1401179	
PHBP8	na	0.14006318	
AC097493.3	na	0.140047	
GSTO3P	na	0.13993104	
ESAM	na	0.13978341	
AC125634.1	na	0.13964191	
AC092131.1	na	0.13924737	
AC004987.1	na	0.13894582	
NPM1P21	na	0.13878724	
CNTN1	na	0.13861275	
RPSAP27	na	0.13858114	
LINC01291	na	0.13843147	
SLC10A3	na	0.1382445	
LIPA	na	0.13819684	
RPL18AP3	na	0.13771956	
RPS11P1	na	0.13743244	
AL513542.1	na	0.13738966	
RPL15P1	na	0.13737525	
TPI1P4	na	0.13726309	
AC083906.4	na	0.1370764	
AC116359.1	na	0.13706009	
EEF1A1P2	na	0.13692085	
AL445529.1	na	0.1368794	
LINC01475	na	0.13657753	
RPSAP25	na	0.13632801	
LY75-CD302	na	0.13623528	
CYB5AP4	na	0.13586998	
ADRA2B	na	0.13571455	
TNFAIP1	na	0.13565725	
UBE2D3P1	na	0.13565339	
HES7	na	0.13548099	
CNMD	na	0.13540801	
P2RY6	na	0.13534977	
AC090686.1	na	0.13530427	
AP001979.1	na	0.13525967	
RPL3P2	na	0.13514759	
AL591926.3	na	0.13503963	
AC087163.1	na	0.13500896	
CSPG5	na	0.13500726	
AC016405.3	na	0.13500054	
EEF1E1-BLOC1S5	na	0.13499963	
MTCO2P23	na	0.13476591	
RPL24P4	na	0.13444147	
AC104777.3	na	0.13439384	
AL359704.1	na	0.13415204	
SERPINA1	na	0.13406661	
OR4D10	na	0.13405865	
AC135050.2	na	0.13401689	
LINC00226	na	0.13375588	
TBC1D25	na	0.1336395	
NPM1P14	na	0.13340361	
EEF1A1P28	na	0.1333948	
AC015688.4	na	0.13335215	
NRBF2P3	na	0.13329475	
AL583805.1	na	0.13322482	
TMIGD3	na	0.13310747	
SLC34A1	na	0.13305221	
IFITM10	na	0.1329364	
AC005840.3	na	0.13278289	
CDC42EP1	na	0.13276559	
HMGA1P1	na	0.13249701	
AC091980.1	na	0.13237351	
GPX1P2	na	0.1323448	
AL353151.1	na	0.13221389	
AL137191.1	na	0.13205917	
AC024940.2	na	0.13204649	
AC121758.1	na	0.13198873	
KLRG2	na	0.13196705	
AP005431.1	na	0.13190286	
AC019209.3	na	0.13181815	
AL023280.1	na	0.13166812	
RPL15P3	na	0.13155669	
RPL23AP28	na	0.13135044	
FTL	na	0.13124527	
PCIF1	na	0.13119513	
PWP1	na	0.13118745	
AC023157.2	na	0.13117754	
UBL4A	na	0.131171	
AL161629.1	na	0.13110168	
MC3R	na	0.1310832	
B4GALT7	na	0.13089064	
FTH1P2	na	0.13077661	
SNX21	na	0.1307595	
SLC47A1	na	0.13065757	
AC007387.1	na	0.13060646	
RPS19P1	na	0.13059321	
AC078991.1	na	0.13053307	
PRELID1P1	na	0.13048768	
LINC01255	na	0.13046591	
RPL7P51	na	0.13037436	
LINC02159	na	0.13032703	
ICE2P1	na	0.13031241	
IGKV2D-26	na	0.13018061	
ABCB9	na	0.1301509	
TNFSF13	na	0.13014424	
RNU1-65P	na	0.13011563	
CFL1P2	na	0.13001211	
RBMY3AP	na	0.1299053	
RPSAP54	na	0.12990382	
HEATR3	na	0.12960555	
SMARCE1P3	na	0.12927169	
AC245452.2	na	0.129233	
AL139100.1	na	0.12884466	
TUBA1C	na	0.12882574	
RCC2P1	na	0.12875156	
AC079250.1	na	0.12874915	
OR56A1	na	0.12865007	
RNF41	na	0.12861852	
AC012184.2	na	0.12858692	
RNA5SP377	na	0.1285853	
ADH5P3	na	0.1285492	
AC022296.2	na	0.12852395	
AK4P1	na	0.12840326	
DDX3P3	na	0.12823056	
ADCK2	na	0.12806469	
LINC01761	na	0.12797554	
FTH1P11	na	0.12781377	
SLC25A5P2	na	0.12764354	
RPL7P5	na	0.12731974	
FTH1P10	na	0.12725373	
IL1RL2	na	0.12694904	
AC074250.1	na	0.12668246	
RPS3AP50	na	0.12642573	
PPIAP23	na	0.12640412	
LINC02134	na	0.12592298	
ST13P20	na	0.12587526	
OR2T29	na	0.12586525	
PSMA8	na	0.12582237	
RPL3P9	na	0.12580366	
EEF1A1P16	na	0.12578745	
PPIAP58	na	0.12573336	
RAB38	na	0.12565076	
RPL18AP16	na	0.12559612	
EEF1A1P20	na	0.1255077	
MRPS35	na	0.12537889	
AL049610.1	na	0.12518492	
MYO5BP3	na	0.1250808	
MTND6P12	na	0.12503414	
GNPDA1	na	0.12500264	
FTH1P23	na	0.12493953	
MIR4633	na	0.124830894	
XIAPP1	na	0.12476985	
AC060234.1	na	0.12476436	
AC114495.1	na	0.1246915	
MYL6P5	na	0.124630466	
AR	na	0.124572426	
AC104619.3	na	0.1245116	
LMAN2	na	0.12450663	
AP001547.1	na	0.124471635	
RPS10P3	na	0.12444578	
AL353678.1	na	0.124427706	
TMED9	na	0.12442042	
C5AR1	na	0.12409744	
ITGA3	na	0.12397608	
FBXO27	na	0.12394413	
TPT1P3	na	0.12393282	
FABP5P7	na	0.12388734	
AL138785.1	na	0.12381111	
SMARCE1P4	na	0.12379995	
AC114491.1	na	0.12377883	
RPL22P13	na	0.123572625	
F12	na	0.12346899	
SPTLC1P3	na	0.12324292	
CCDC63	na	0.12324192	
NETO2	na	0.1231794	
ARL5AP4	na	0.12315402	
AP001024.1	na	0.123035274	
SQSTM1	na	0.12298181	
AL021918.2	na	0.12290054	
EMX1	na	0.12286231	
AC096664.2	na	0.1228252	
LGALS3	na	0.12268615	
OGFOD3	na	0.12265147	
ULBP1	na	0.122632325	
RPSAP24	na	0.12248115	
AL139010.1	na	0.12246383	
FTH1P21	na	0.12245034	
MAPKAPK3	na	0.12241521	
UBE2V1P8	na	0.12240974	
AC025574.1	na	0.122369185	
ARL4C	na	0.1222043	
NINJ1	na	0.12214256	
SMIM1	na	0.122074045	
KRT8P36	na	0.12198639	
AL121718.1	na	0.12197946	
EEF1A1P8	na	0.1219355	
PRELID1	na	0.121917754	
PPIAP84	na	0.12183818	
AC008799.1	na	0.12175284	
CCL18	na	0.121739425	
AL669983.1	na	0.12166567	
AC020899.1	na	0.12164847	
AC019185.1	na	0.12153936	
AC010422.3	na	0.12153829	
RITA1	na	0.12145426	
C1QC	na	0.121398285	
LINC01116	na	0.12137835	
AL022318.1	na	0.121361345	
BX322562.1	na	0.12135804	
RPS3AP6	na	0.12108357	
EPHA10	na	0.12104706	
FUCA1	na	0.12096859	
CHCHD2P3	na	0.120900735	
ME2	na	0.12069216	
AC113192.1	na	0.120671645	
AC012671.1	na	0.12064335	
RPL23AP59	na	0.12056188	
RPS18P12	na	0.12046902	
IZUMO1R	na	0.12041833	
AGAP2-AS1	na	0.12041098	
AC008060.1	na	0.12037368	
CTSG	na	0.120332964	
IFNL3P1	na	0.12033041	
LAPTM4BP1	na	0.120303065	
AC004590.1	na	0.12028551	
EEF1GP2	na	0.12027188	
AL162151.2	na	0.12025901	
AC023161.2	na	0.120195106	
GALNT6	na	0.120143026	
PGK1	na	0.12011958	
TH	na	0.11998382	
RPL34P29	na	0.119938366	
AC209007.1	na	0.11988723	
CHADL	na	0.11987046	
RPS4XP23	na	0.11986526	
MRPL3P1	na	0.11985789	
AP001282.1	na	0.11984564	
RPS29P5	na	0.11981086	
MARK2P10	na	0.119724266	
OR4C3	na	0.11971621	
HOMER2P2	na	0.11957395	
SLC25A47P1	na	0.11956151	
AL031667.1	na	0.11945761	
HDAC3	na	0.11940797	
AC107954.1	na	0.119388826	
RPL5P12	na	0.119295925	
AL450405.1	na	0.11924373	
AC090023.2	na	0.11917814	
AC003005.2	na	0.11917516	
SLC29A3	na	0.119137816	
PARVB	na	0.119051576	
AC090142.1	na	0.11901646	
TMEM121	na	0.11890428	
APOBEC2	na	0.118901946	
RPS29P8	na	0.1188771	
ERVE-1	na	0.1187215	
FO704657.1	na	0.11872053	
PRR7	na	0.1187126	
LSM12P1	na	0.11871149	
EEF1A1P9	na	0.11863623	
AC110749.1	na	0.11862557	
EEF1A1P29	na	0.11862138	
AL161616.1	na	0.11855307	
CPNE9	na	0.11853391	
MIR100HG	na	0.118505724	
LY6L	na	0.11848426	
ACTBP1	na	0.11847013	
AP007216.2	na	0.118412144	
HSPA8P9	na	0.118342005	
AC073336.1	na	0.11832267	
AC091705.1	na	0.11831825	
AL359183.1	na	0.11830315	
VEZF1P1	na	0.11825629	
LINC00900	na	0.118246846	
AC023310.2	na	0.11824644	
AC105105.2	na	0.11819333	
TCEA1P2	na	0.11815638	
HLA-DQB2	na	0.118050024	
LPO	na	0.11800863	
SLC22A2	na	0.11799095	
AL135938.1	na	0.11791391	
AC068580.4	na	0.11790433	
IGLVI-20	na	0.11784983	
TRBV5-6	na	0.11762167	
AC011523.1	na	0.11758698	
TOLLIP	na	0.11752679	
AC092597.1	na	0.11747244	
AC079768.1	na	0.117415	
CDKN2AIPNLP1	na	0.117348485	
RTN3P1	na	0.1173108	
NECAP1P1	na	0.117220566	
CSNK2A3	na	0.11718856	
WBP11P1	na	0.11716743	
AL590135.1	na	0.117129564	
IGBP1	na	0.11710462	
KCNK15	na	0.11703282	
NPM1P5	na	0.11693117	
ACP5	na	0.11684278	
POM121L2	na	0.116716616	
AC139143.1	na	0.11668685	
DDOST	na	0.11663399	
GNGT2	na	0.116584934	
MTCO3P27	na	0.116542324	
KRT8P2	na	0.11652371	
AC025254.1	na	0.11647701	
LINC01388	na	0.11647208	
OR7E18P	na	0.1164256	
TRAFD1	na	0.116385706	
GMFBP1	na	0.11634038	
RPS4XP19	na	0.11631501	
AC068580.2	na	0.11623511	
AC012558.1	na	0.11616793	
MYL6P2	na	0.11610304	
THTPA	na	0.115984984	
BEX5	na	0.115940884	
COX11P1	na	0.115923576	
AL590867.2	na	0.115915686	
FGFR1OP2	na	0.1159001	
PPIAP26	na	0.11579935	
RASSF8-AS1	na	0.115756534	
EEF1A1P17	na	0.11574944	
LINC01992	na	0.115687326	
RXYLT1	na	0.11567077	
AC009902.2	na	0.11553278	
AC135977.1	na	0.11546059	
SHISAL2B	na	0.115199864	
AC007688.1	na	0.11519336	
EIF3LP2	na	0.1151299	
RPL18AP8	na	0.11508166	
RPS6P21	na	0.1150377	
LINC00864	na	0.11498585	
C1orf109	na	0.114974804	
AL121871.1	na	0.11495233	
OAZ1	na	0.11495167	
AC087650.1	na	0.114766136	
POLDIP2	na	0.11469604	
CHTF8P1	na	0.114659004	
BCL2L1	na	0.11462058	
GABRP	na	0.11461346	
FOLR2	na	0.11435101	
AC027176.3	na	0.11425726	
AC021451.1	na	0.114233375	
MYL6P1	na	0.114219174	
RARA	na	0.114029534	
RPL35P1	na	0.11394327	
TUBAP2	na	0.11393855	
CHCHD6	na	0.11393062	
AC140479.4	na	0.113852434	
ULBP2	na	0.11378008	
IGJP1	na	0.11376673	
RNH1	na	0.11364678	
AC005099.1	na	0.11362606	
ATP6V0D2	na	0.11360614	
LDHAP3	na	0.11359421	
AC090589.1	na	0.11358916	
YIPF2	na	0.113549605	
TMEM205	na	0.11351434	
SNX12	na	0.11330842	
AC011495.1	na	0.113306865	
AC022034.1	na	0.11327053	
RPS2P5	na	0.11325341	
AC113398.1	na	0.11324993	
C4B-AS1	na	0.11322847	
AL583856.1	na	0.113194056	
AP002353.1	na	0.11314953	
AL117378.2	na	0.113140754	
AC073283.3	na	0.1131268	
HMGN2P22	na	0.11312401	
AL118522.1	na	0.11306634	
FLRT3	na	0.11299084	
ADGRG7	na	0.11298932	
PGAM5P1	na	0.11297324	
COX7A2P2	na	0.11294743	
ANKRD7	na	0.11294614	
TREM2	na	0.11292729	
MTND1P33	na	0.11283649	
KLHL21	na	0.112723485	
FDPSP6	na	0.11253869	
LINC00604	na	0.11249164	
ARHGDIA	na	0.11242617	
RPL13AP7	na	0.112328395	
ESPNL	na	0.11231877	
RPS4XP21	na	0.11228723	
LINC01510	na	0.11227624	
AC083967.1	na	0.11221449	
MTND4LP21	na	0.11219375	
AP5S1	na	0.112129346	
ERHP1	na	0.1121125	
RPS10P28	na	0.11208538	
CTSB	na	0.112059034	
LGALSL	na	0.1120357	
MVB12A	na	0.11199819	
EEF1A1P6	na	0.111925095	
TYROBP	na	0.11186175	
FLOT2	na	0.111854345	
ANXA2P2	na	0.111845165	
OR4T1P	na	0.111827545	
ACTG1P14	na	0.11181186	
NCEH1	na	0.11178191	
AL354692.1	na	0.11175447	
OLFM2	na	0.11172971	
CISD3	na	0.11170472	
PTGER2	na	0.11165761	
NT5E	na	0.111617856	
FUNDC2P1	na	0.11160707	
ATP5PDP1	na	0.111588664	
AC106806.1	na	0.11158107	
AC078974.1	na	0.111543834	
RGS14	na	0.11138799	
KRTAP2-3	na	0.111340605	
FMO3	na	0.111269176	
AC004386.1	na	0.11126398	
AC007683.1	na	0.11125797	
AC090820.1	na	0.11123593	
AP002784.2	na	0.11118317	
AC012445.1	na	0.11118278	
TERF1P1	na	0.111148715	
IFI35	na	0.11109353	
AC108114.1	na	0.11106171	
MS4A4A	na	0.111057065	
MIR328	na	0.11104325	
ALDH1A1	na	0.111038364	
KLK15	na	0.110968	
AC093700.1	na	0.110951245	
MLST8	na	0.11092248	
RNA5SP365	na	0.110911526	
SLC49A3	na	0.11090054	
MANEAL	na	0.110835515	
SRIP3	na	0.110810414	
AP004245.1	na	0.11076437	
AICDA	na	0.11073388	
CLPP	na	0.11069015	
AC114781.4	na	0.11064631	
LGMNP1	na	0.11057749	
AL390778.1	na	0.11051269	
LINC00850	na	0.11051149	
MAP3K14	na	0.110506	
AC005632.3	na	0.11048819	
MKRN7P	na	0.110465415	
LRG1	na	0.110460006	
LRRC40	na	0.110394716	
C11orf68	na	0.11034583	
RPL35P2	na	0.11034314	
AC062016.2	na	0.11018491	
NPM1P12	na	0.110138565	
AL354714.2	na	0.11006941	
AC083873.1	na	0.110043064	
AC007920.1	na	0.11002006	
RPS13P2	na	0.10998163	
ERAL1	na	0.10997508	
APMAP	na	0.109845914	
AC097533.1	na	0.109823935	
PRAMEF19	na	0.109721884	
WWTR1	na	0.10967752	
GLIS3-AS1	na	0.10966194	
NDUFA3P3	na	0.10951348	
TPP1	na	0.1094895	
RPL10AP6	na	0.109460436	
GPAA1P2	na	0.109453	
JDP2	na	0.10939735	
LINC01106	na	0.109371684	
AC104306.2	na	0.10934363	
NHLRC1	na	0.10930907	
EIF4A1P9	na	0.10926662	
HMGCLL1	na	0.10925701	
EIF4A2P3	na	0.10924481	
XPOTP1	na	0.109204285	
WARSP1	na	0.10914193	
LRRN1	na	0.10906224	
IL1RL1	na	0.10904723	
SDC4	na	0.10904419	
AC008677.2	na	0.1090218	
AC092865.1	na	0.10899473	
SDAD1P2	na	0.108892746	
UBBP3	na	0.108892426	
MRPL54	na	0.10888939	
RAB5C	na	0.108879	
LURAP1L	na	0.108874485	
GPC4	na	0.10886092	
USE1	na	0.10884762	
AC002524.1	na	0.1088408	
AC016712.1	na	0.10880585	
ANP32BP2	na	0.10877957	
ACTA1	na	0.10875597	
TPT1P9	na	0.10875308	
RPL9P18	na	0.10870944	
AC022613.1	na	0.10869253	
MIR22HG	na	0.10863226	
AL356535.1	na	0.108577974	
CAMK1	na	0.108531296	
AC006210.1	na	0.10850454	
AC079780.1	na	0.10849615	
AC006058.4	na	0.1084758	
AC020898.1	na	0.10843793	
HAUS6P1	na	0.10841838	
EEF1A1P33	na	0.108373396	
AL020994.1	na	0.10830406	
GGT5	na	0.1082958	
AP005901.1	na	0.108280346	
AL513175.2	na	0.10824394	
CPZ	na	0.10818824	
TPT1P2	na	0.1081366	
AC092265.1	na	0.10811352	
TMEM150B	na	0.10807204	
DEXI	na	0.108025424	
AC010327.3	na	0.107996985	
TMEM14DP	na	0.107948616	
AL450063.1	na	0.10792973	
ANXA2P3	na	0.1078886	
SERPINB1	na	0.107884355	
KRT18P23	na	0.10788224	
RPL22P10	na	0.10782634	
STARD3NL	na	0.107766554	
GPR78	na	0.10774963	
RAB32	na	0.1077451	
LINC02454	na	0.107741535	
AC016724.1	na	0.107670516	
FAM3A	na	0.10765374	
TKT	na	0.10765364	
AL356364.1	na	0.10762271	
AC103563.8	na	0.107568465	
LDHAP4	na	0.1075669	
NPL	na	0.1075594	
AC010177.1	na	0.107441254	
RAB1C	na	0.1073738	
ADORA2BP1	na	0.10737253	
CRYBB1	na	0.107349984	
PYGL	na	0.107268326	
RNU6-1122P	na	0.1071503	
AC090643.2	na	0.107139386	
TMEM185B	na	0.1071348	
AC104212.1	na	0.10713123	
AC078817.1	na	0.10708441	
RPL5P3	na	0.10707716	
AC008443.3	na	0.107076496	
FIBP	na	0.10704031	
AL592049.1	na	0.107027054	
WARS2	na	0.106994	
RPL39P3	na	0.106918156	
LRRC29	na	0.106848694	
PDLIM4	na	0.106828645	
CASR	na	0.10673737	
C19orf70	na	0.1067301	
SIGLEC7	na	0.106728286	
AC073288.1	na	0.10671828	
HLA-H	na	0.10669086	
KRT8P40	na	0.1066764	
AC092115.1	na	0.10667028	
NAGS	na	0.10661534	
AC010343.1	na	0.10661439	
LINC01926	na	0.106595986	
AC131235.1	na	0.10653643	
AP000942.1	na	0.106447436	
EEF1GP8	na	0.1064352	
EIF4E1B	na	0.10640779	
FTH1P3	na	0.10640642	
MRPL49	na	0.106404014	
BMS1P11	na	0.106326416	
RPL17P44	na	0.1063168	
TSPAN11	na	0.10627518	
HADHAP2	na	0.1062733	
IGLV2-33	na	0.106257886	
RHOC	na	0.10615349	
HSD17B13	na	0.10614145	
UQCR11	na	0.10612375	
AC100860.1	na	0.10610929	
C9orf135-DT	na	0.10610268	
SMURF2P1-LRRC37BP1	na	0.10608185	
AC008026.1	na	0.106062464	
AL121578.1	na	0.10604971	
APELA	na	0.10604789	
DUSP2	na	0.10603489	
RPL19P20	na	0.10602804	
RNU6-1094P	na	0.10601248	
LINC02139	na	0.106008515	
TTPAL	na	0.105996214	
PRF1	na	0.105994046	
ZNF402P	na	0.105982706	
LINC01678	na	0.10597095	
FABP5P1	na	0.10592114	
SUMO3	na	0.10589377	
SARS	na	0.10586794	
UBASH3B	na	0.105863385	
AC099560.2	na	0.105842225	
ADA	na	0.105832815	
EMD	na	0.10580803	
RNU6-806P	na	0.1057766	
AC108145.1	na	0.10572379	
AC097463.1	na	0.10570059	
AC002401.4	na	0.10564326	
TWF2	na	0.10561903	
LINC00683	na	0.105617166	
CGRRF1	na	0.10558111	
IL34	na	0.10549264	
AC093816.1	na	0.10548621	
AJ003147.2	na	0.105479404	
AC068647.2	na	0.10544956	
OR4F4	na	0.10544891	
AP005212.3	na	0.105405845	
ACR	na	0.10540323	
AP002856.4	na	0.10536716	
AC142086.3	na	0.105294205	
MSNP1	na	0.10527296	
EXD2	na	0.105187334	
AC245452.3	na	0.105139114	
SMCO4P1	na	0.10512713	
AL355309.1	na	0.1050443	
C1QB	na	0.10503595	
AC113935.1	na	0.10501266	
MIR6729	na	0.1050018	
AC245054.2	na	0.104987696	
AL049839.2	na	0.104955286	
LINC02075	na	0.104944564	
AL355472.2	na	0.10488866	
EEF1A1P12	na	0.10487679	
AC011270.1	na	0.104842976	
CAMLG	na	0.10478429	
TCN2	na	0.10476553	
MAP3K15	na	0.10473027	
KIRREL2	na	0.10467057	
DYTN	na	0.1046099	
LYARP1	na	0.10460524	
FAM131C	na	0.10457014	
AC109462.1	na	0.104563035	
ALKBH1	na	0.10455999	
CFL1P4	na	0.1045553	
P2RY2	na	0.10452301	
ARF4P1	na	0.104513116	
BIN1	na	0.104460314	
CD9	na	0.104426935	
CD68	na	0.104399554	
AP002358.2	na	0.104386434	
AC009518.3	na	0.10438513	
ATP6V0E1	na	0.104360975	
CA9	na	0.104318105	
SIGLEC8	na	0.10431606	
AC023245.2	na	0.10421514	
NTS	na	0.10417209	
ACTBP2	na	0.10410473	
MIR5197	na	0.10409378	
ATP6V1F	na	0.104079306	
AC098587.1	na	0.10407783	
SOCS1	na	0.10405352	
NUDT22	na	0.10403157	
PDILT	na	0.10402223	
TRIAP1	na	0.104005486	
RN7SL222P	na	0.10399205	
NPM1P27	na	0.10398313	
HSPA8P16	na	0.103958145	
HNRNPCL1	na	0.103943	
FAM225A	na	0.10394196	
AC008040.3	na	0.103871465	
PLA2G4D	na	0.10387146	
YEATS4	na	0.10381579	
AP000552.2	na	0.1038132	
NPM1P6	na	0.103793494	
TBC1D9B	na	0.10376427	
RPL6P25	na	0.103721954	
EEF1A1P7	na	0.10371917	
AL158201.1	na	0.10371882	
MIR9-3HG	na	0.10371702	
NPM1P24	na	0.10371649	
HMGA1P3	na	0.103658676	
HTR1F	na	0.10365621	
MIR3976HG	na	0.10365309	
EEF1A1P21	na	0.10359222	
AC009227.2	na	0.10357652	
AP001085.1	na	0.103574656	
AC108479.1	na	0.10354053	
AF201337.1	na	0.103490226	
RPSAP28	na	0.10345896	
LSM10	na	0.10344865	
AC126177.1	na	0.10344253	
AL133260.1	na	0.10333456	
PRODH2	na	0.103321955	
HMGB1P48	na	0.10331785	
AL161908.1	na	0.10327145	
EIF4EP2	na	0.10324283	
AL161909.1	na	0.10323024	
SSXP1	na	0.10318564	
MIR4294	na	0.103151	
EIF3FP3	na	0.103120506	
ASMT	na	0.10309955	
AC011445.1	na	0.10301178	
FZD2	na	0.10292182	
BOD1	na	0.10291857	
AC112482.1	na	0.10288294	
AC114501.1	na	0.10285626	
AC073861.1	na	0.102837406	
MTCO1P57	na	0.102779865	
HSPA8P1	na	0.10274969	
AC005020.2	na	0.102734566	
MSANTD4	na	0.10271526	
RPL35P5	na	0.10270178	
EEF1A1P15	na	0.10268569	
ADSL	na	0.10268414	
ASNA1	na	0.1026755	
FLJ22447	na	0.102659315	
RPS5	na	0.102658354	
GSPT2	na	0.10260636	
PBX2P1	na	0.102585025	
ZFP91-CNTF	na	0.10253286	
KIAA1191	na	0.10249096	
IGLVVII-41-1	na	0.10245885	
MYOSLID	na	0.10245428	
AL122020.1	na	0.10245213	
PPP2CB	na	0.10231396	
ACTBP9	na	0.10230775	
C12orf75	na	0.10230159	
RPL39P39	na	0.102293104	
PTPN1	na	0.1022382	
RPL29P25	na	0.10217182	
RPL19P13	na	0.10211605	
ECHDC3	na	0.10209905	
DKK3	na	0.10207831	
WDR25	na	0.102060266	
BAD	na	0.102050446	
MTATP6P23	na	0.10203822	
SCO2	na	0.10198312	
TMSB10P2	na	0.10197965	
RPSAP49	na	0.10194674	
ARMC10P1	na	0.10191922	
RPL36AP39	na	0.10185278	
AL139420.2	na	0.10184928	
BCAT1	na	0.101828694	
AC008060.4	na	0.10172093	
CLEC4G	na	0.101701416	
AL596276.2	na	0.10166352	
AL355994.2	na	0.10162737	
AC021146.7	na	0.101572216	
GAPDHP40	na	0.10154392	
POMGNT2	na	0.101499766	
AL138812.1	na	0.10149956	
MRE11P1	na	0.101431206	
STBD1	na	0.10142461	
NT5DC3	na	0.10138551	
RPL27AP5	na	0.101370946	
AC090821.1	na	0.101353705	
MGAT4B	na	0.101345174	
Z83841.1	na	0.10133557	
RPS4XP9	na	0.10127101	
AL158047.1	na	0.10125157	
AL359976.1	na	0.101243265	
Z99916.3	na	0.10120987	
SAPCD2P1	na	0.10120904	
AC116347.1	na	0.101207316	
SLC22A18AS	na	0.10117395	
UBQLN1P1	na	0.10116053	
PAGE4	na	0.101150714	
MRPL45	na	0.10114698	
CYP27B1	na	0.10111053	
AL139390.1	na	0.101102844	
ERMAP	na	0.10107122	
AC025627.1	na	0.101061516	
MRGPRG-AS1	na	0.101031005	
PLA2G15	na	0.1009911	
XAGE1A	na	0.10095642	
AC135048.4	na	0.10094296	
MRPL50P1	na	0.10086318	
BRINP3	na	0.100859076	
LYPLA2P2	na	0.10083181	
LINC02208	na	0.10077295	
AC073316.2	na	0.10076169	
AC134878.1	na	0.10075604	
RPL30P12	na	0.10072487	
PAQR7	na	0.10065025	
AC025419.1	na	0.10061286	
SNX11	na	0.10059712	
GAPDHP50	na	0.10057488	
C10orf25	na	0.10051503	
FNDC5	na	0.10049925	
UNC93A	na	0.10043211	
MAGED4B	na	0.10038487	
C1QA	na	0.10036278	
TGFA	na	0.1003407	
RPS3AP36	na	0.10032355	
SCD5	na	0.10030953	
LAMA1	na	0.100296035	
RN7SL869P	na	0.10029543	
LINC01474	na	0.10026196	
CCT2	na	0.10026073	
CTSH	na	0.100237526	
FAM234B	na	0.100183055	
RPL5P32	na	0.100154385	
RPEP6	na	0.100144506	
AC027309.2	na	0.10013785	
SLC25A51P2	na	0.10012971	
ZNRF4	na	0.10010984	
CREB3	na	0.10009006	
RHEBP2	na	0.10008595	
AC136632.1	na	0.10008468	
EIF2S2P4	na	0.1000515	
AC098847.1	na	0.09999261	
RPL26P19	na	0.09999166	
FTH1	na	0.09996495	
CXorf40B	na	0.09995646	
RPS27P5	na	0.09995619	
LAGE3	na	0.09994783	
TINAGL1	na	0.099933065	
OTOA	na	0.09992167	
AC097059.1	na	0.099880114	
AC008738.6	na	0.09987995	
