NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS		35	-0.20669082	-0.6550505	0.8929336	1.0	1.0	20461	tags=34%, list=37%, signal=54%	
KEGG_LINOLEIC_ACID_METABOLISM	KEGG_LINOLEIC_ACID_METABOLISM		29	-0.20881218	-0.65158516	0.93439364	1.0	1.0	10660	tags=21%, list=19%, signal=26%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION		85	-0.17241855	-0.6514685	0.9193858	1.0	1.0	23193	tags=42%, list=42%, signal=73%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE		124	-0.19316407	-0.6421187	0.81963927	1.0	1.0	25736	tags=48%, list=47%, signal=89%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY		155	-0.15852754	-0.6131363	0.9518072	1.0	1.0	16469	tags=25%, list=30%, signal=36%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS		112	-0.15959695	-0.59983766	0.93877554	1.0	1.0	23307	tags=40%, list=42%, signal=69%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS		101	-0.15250324	-0.5996495	0.988189	1.0	1.0	21239	tags=37%, list=38%, signal=59%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR		44	-0.17232077	-0.54338104	0.93861383	1.0	1.0	22025	tags=39%, list=40%, signal=64%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC		74	-0.15185478	-0.53037083	0.9921722	1.0	1.0	18946	tags=31%, list=34%, signal=47%	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY		75	-0.1410563	-0.48333284	0.9787234	1.0	1.0	23045	tags=40%, list=42%, signal=69%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION		36	-0.17299822	-0.42055124	0.9519038	0.9940943	1.0	23041	tags=39%, list=42%, signal=67%	
